소재지,년도,총합,문예회관,종합사회복지관,구민(다목적)체육시설,청소년수련시설
영등포구,2020,10,1,2,2,5
동작구,2020,12,0,6,2,4
관악구,2020,11,1,5,3,2
서초구,2020,13,1,4,6,2
강남구,2020,13,0,6,3,4
송파구,2020,13,0,6,2,5
강동구,2020,9,1,2,5,1
종로구,2021,5,1,1,3,0
중구,2021,15,1,3,7,4
용산구,2021,8,1,2,2,3
성동구,2021,11,2,3,4,2
광진구,2021,9,1,3,4,1
동대문구,2021,6,0,2,3,1
중랑구,2021,8,0,4,2,2
성북구,2021,11,0,5,3,3
강북구,2021,9,1,4,2,2
도봉구,2021,11,0,3,2,6
노원구,2021,16,1,9,2,4
은평구,2021,10,1,3,2,4
서대문구,2021,9,1,3,3,2
마포구,2021,11,1,3,3,4
양천구,2021,12,1,5,4,2
강서구,2021,19,0,10,6,3
구로구,2021,12,1,3,5,3
금천구,2021,8,1,2,3,2
영등포구,2021,10,1,2,2,5
동작구,2021,13,0,6,4,3
관악구,2021,11,1,5,3,2
서초구,2021,13,1,4,6,2
강남구,2021,14,0,6,4,4
송파구,2021,12,0,6,1,5
강동구,2021,8,1,2,4,1
